workerid,color2,animal2,animal1,choice,color1,verb,slide_number,determiner,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,green,fishs,bugs,1212,blue,not,3,The,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,fishs,birds,1111,blue,is,4,The,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,fishs,birds,1212,blue,not,5,The,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,green,fishs,bugs,1111,blue,is,6,A,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,green,fishs,bugs,1111,blue,is,7,Everything,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,birds,bugs,1111,green,is,8,A,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,birds,bugs,1212,green,not,9,A,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,flowers,fishs,1212,blue,not,10,A,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,flowers,fishs,1111,blue,is,11,Everything,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
0,red,fishs,birds,1121,blue,is,12,Everything,English,1,Male,47,,Yes,3,Windows,1080,1920,Chrome,373L46LKP7JPY6QSCG6IQ4MBSEQJKS,3KIFW8VYC924G5XEU83P9CIQTREBPO,Fun experiment about critters,Look at plants and animals and answer questions about them,behavior survey psychology scenarios estimate experiment,$0.30,Fri Apr 08 09:25:39 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun May 08 09:25:39 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP7JPY6QSCG6IQ4MBSEQJKS,31Q0U3WYDQSXUU1XTZG47IGMIUH71O,0,Submitted,Sat Apr 09 02:09:16 PDT 2016,Fri Apr 08 09:27:28 PDT 2016,Fri Apr 08 09:29:16 PDT 2016,,,,,,[],1.76545
